,cluster,topic,doc_type,source,article_id,sentence,sentence_id,cosine_similarity,textblob_polarity
0,0,Environment (pesticides & fertilizers),Article,,,,,,
1,1,Retailers,Article,spiegel,92.0,"Hamburg - Für viele Verbraucher geben sie den Ausschlag bei der Kaufentscheidung - obwohl kaum jemand weiß, wofür sie wirklich stehen: Bio- oder Gütesiegel sind für die Lebensmittelindustrie zu einem wichtigen Verkaufsinstrument geworden.",269816.0,0.4038666486740112,0.425
2,1,Retailers,Article,spiegel,92.0,"Zwar sind die Kriterien, nach denen die fast hundert unterschiedlichen Lebensmittelsiegel in Deutschland vergeben werden, in der Regel transparent und gut dokumentiert.",269822.0,0.3398203253746033,0.85
3,1,Retailers,Article,spiegel,92.0,Klicken Sie auf die Logos: Lebensmittel-Siegel: In Treu und Glauben,269828.0,0.264295756816864,1.0
4,2,Garbage 1,Article,spiegel,92.0,"SPIEGEL ONLINE zeigt, welche Siegel halten, was sie versprechen - und welche nicht.",269815.0,0.12369555979967115,1.0
5,3,GMO & organic,Article,spiegel,92.0,In Umfragen bezeichneten Verbraucher beispielsweise Lebensmittel mit Biosiegel als sympathisch und qualitativ hochwertig.,269817.0,0.4760662019252777,1.0
6,3,GMO & organic,Article,spiegel,92.0,Aber für den unbedarften Konsumenten sind die Kriterien oft unverständlich formuliert - und hinter dem Fach-Chinesisch mancher Kennzeichnungen versteckt sich regelrechter Etikettenschwindel.,269823.0,0.433384507894516,-0.7000000000000001
7,3,GMO & organic,Article,spiegel,92.0,"In der Flut von fast hundert Öko-, Bio-, Qualitäts- und Fair-Trade-Logos verlieren selbst gut informierte Verbraucher die Übersicht.",269814.0,0.3960971236228943,0.15000000000000002
8,4,Garbage 2,Article,,,,,,
9,5,Food products & taste,Article,spiegel,92.0,"Welche der am weitesten verbreiteten Lebensmittelsiegel halten wirklich, was sie versprechen - und welche nicht?",269827.0,0.2920198440551758,1.0
10,6,Food safety,Article,,,,,,
11,7,Research,Article,,,,,,
12,8,Health & nutrition,Article,,,,,,
13,9,Garbage 3,Article,spiegel,92.0,Wem kann man noch trauen?,269813.0,0.3067626953125,0.7000000000000001
14,10,Politics & policy & compliance,Article,,,,,,
15,11,Animal welfare & meat consumption,Article,,,,,,
16,12,Farming & agricultural policy & food security,Article,,,,,,
17,13,Consumer prices & profit,Article,spiegel,92.0,Das gute Geschäft lebt auch von der Unwissenheit der Verbraucher.,269821.0,0.4307823479175568,1.0
18,14,Garbage 4,Article,,,,,,
19,0,Environment (pesticides & fertilizers),Comment,spiegel,92.0,".für mich ein Kriterium, vorzugsweise Demeter-Produkte zu kaufen, dass sie z.B. nicht erlauben, den Boden unter den Pflanzen mit Plastikfolie abzudecken, was verhindert, dass ""Unkräuter"" wachsen, was sowohl eine natürliche Bodenbeschaffenheit verhindert, als auch dass die Pflanzen sich gegenseitig ""helfen"", indem sie Substanzen wie z.B. Phosphor, Stickstoff ( durch Schmetterlingsblütler), etc austauschen.",270098.0,0.4968608617782593,-0.5
20,1,Retailers,Comment,spiegel,92.0,"Kein Wunder also, dass da immer nur ""Produktinnovationen"" gewinnen, mit denen Real, Edeka und Kaiser's besonders gut Kasse machen können - also irgendwelche vergewaltigten Lebensmittel in Plastikverpackungen aus dem Hause Unilever, Nestlé oder Kraft Foods.",270208.0,0.4228266477584839,1.0
21,1,Retailers,Comment,spiegel,92.0,"Es sind die Lebensmittelkonzerne, die mit schlechtesten und billigsten Zutaten und poppig-bunten Etiketten Ihnen vorgaukeln, der Inhalt sei sein Geld wert.",269971.0,0.419678270816803,-0.7000000000000001
22,1,Retailers,Comment,spiegel,92.0,"Es sind die Lebensmittelkonzerne, die mit schlechtesten und billigsten Zutaten und poppig-bunten Etiketten Ihnen vorgaukeln, der Inhalt sei sein Geld wert.",269954.0,0.419678270816803,-0.7000000000000001
23,1,Retailers,Comment,spiegel,92.0,Auch suburbane Akademiker kaufen Industrienahrungsmittel.,270156.0,0.4156398177146912,-0.7000000000000001
24,1,Retailers,Comment,spiegel,92.0,"Nicht mal im Doppelblindvergleich kam der Laden annähernd in die Spitzengruppe (und es wurden NUR Bulettenbräter verglichen, keine wirklich hochwertigen Produkte).",270256.0,0.30766868591308594,-0.5
25,1,Retailers,Comment,spiegel,92.0,DLG und QS sind auf jeden fall nur schöner schein der lebensmittelindustrie.,269877.0,0.3046815395355225,1.0
26,1,Retailers,Comment,spiegel,92.0,"Beim Verkauf einer herkömmlichen Tafel Schokolade mit 18 Stücken erhält der Bauer gerade mal den Wert eines Stückes, bei einer fair gehandelten Tafel Schokolade immerhin den Wert von 8 Stücken.",270361.0,0.3034046292304993,1.0
27,1,Retailers,Comment,spiegel,92.0,"Beim Verkauf einer herkömmlichen Tafel Schokolade mit 18 Stücken erhält der Bauer gerade mal den Wert eines Stückes, bei einer fair gehandelten Tafel Schokolade immerhin den Wert von 8 Stücken.",270356.0,0.3034046292304993,1.0
