,cluster,topic,doc_type,source,article_id,sentence,sentence_id,cosine_similarity,textblob_polarity
0,0,Environment (pesticides & fertilizers),Article,nytimes,175.0,"The alterations make soybeans resistant to a herbicide used in weed control, and causes the corn to produce its own insecticide.",26644.0,0.5124595165252686,0.6000000000000001
1,0,Environment (pesticides & fertilizers),Article,nytimes,175.0,"Efforts are under way to produce a genetically altered apple that will spoil less quickly, as well as genetically altered salmon that will grow faster.",26645.0,0.4205295741558075,0.08333333333333301
2,1,Retailers,Article,nytimes,175.0,"Today, Whole Foods’ shelves carry some 3,300 private-label and branded products that are certified, the largest selection of any grocery chain in the country.",26686.0,0.4858538508415222,0.2
3,1,Retailers,Article,nytimes,175.0,"Whole Foods, which specializes in organic products, tends to be favored by those types of consumers, and it enjoys strong sales of its private-label products, whose composition it controls.",26679.0,0.4804054498672485,0.477777777777777
4,1,Retailers,Article,nytimes,175.0,The company thus risks less than some more traditional food retailers in taking a stance on labeling.,26680.0,0.43460264801979065,0.111111111111111
5,1,Retailers,Article,nytimes,175.0,The labeling requirements announced by Whole Foods will include its 339 stores in the United States and Canada.,26651.0,0.4239377975463867,0.2
6,1,Retailers,Article,nytimes,175.0,He said Whole Foods looked forward to working with suppliers on the labeling.,26688.0,0.400944322347641,0.2
7,1,Retailers,Article,nytimes,175.0,But even Whole Foods has not been immune to criticism on the G.M.O.,26682.0,0.4001734852790833,0.2
8,1,Retailers,Article,nytimes,175.0,"Whole Foods Market, the grocery chain, on Friday became the first retailer in the United States to require labeling of all genetically modified foods sold in its stores, a move that some experts said could radically alter the food industry.",26638.0,0.3952012062072754,0.225
9,1,Retailers,Article,nytimes,175.0,"A. C. Gallo, president of Whole Foods, said the new labeling requirement, to be in place within five years, came in response to consumer demand.",26639.0,0.3913109302520752,0.16818181818181802
10,1,Retailers,Article,nytimes,175.0,"Coincidentally, the American Halal Company, a food company whose Saffron Road products are sold in Whole Foods stores, on Friday introduced the first frozen food, a chickpea and spinach entree, that has been certified not to contain genetically modified ingredients.",26672.0,0.3819521069526672,0.15
11,1,Retailers,Article,nytimes,175.0,"The Grocery Manufacturers Association, the trade group that represents major food companies and retailers, issued a statement opposing the move.",26648.0,0.3752053380012512,0.0625
12,1,Retailers,Article,nytimes,175.0,Mr. Gallo said Whole Foods did not consult with its suppliers about its decision and informed them of it only shortly before making its announcement Friday.,26687.0,0.36477962136268616,0.06666666666666599
13,1,Retailers,Article,nytimes,175.0,The announcement ricocheted around the food industry and excited proponents of labeling.,26646.0,0.3521231412887573,0.375
14,1,Retailers,Article,nytimes,175.0,"“Now, one of the fastest-growing, most successful retailers in the country is throwing down the gantlet.”.",26662.0,0.3334259688854217,0.3648148148148141
15,1,Retailers,Article,nytimes,175.0,"Other initiatives have qualified for the ballot in Washington State and Missouri, while consumers across the country have been waging a sort of guerrilla movement in supermarkets, pasting warning stickers on products suspected of having G.M.O.",26657.0,0.3146296441555023,-0.125
16,2,Garbage 1,Article,,,,,,
17,3,GMO & organic,Article,nytimes,175.0,"Proponents of labeling insist that consumers have a right to know about the ingredients in the food they eat, and they contend that some studies in rats show that bioengineered food can be harmful.",26659.0,0.5751848220825195,0.28571428571428503
18,3,GMO & organic,Article,nytimes,175.0,"The labels currently used show that a product has been verified as free of genetically engineered ingredients by the Non GMO Project, a nonprofit certification organization.",26653.0,0.5691218972206116,0.2
19,3,GMO & organic,Article,nytimes,175.0,"Most of the corn and soybeans grown in the United States, for example, have been genetically modified.",26643.0,0.5106926560401917,0.5
20,3,GMO & organic,Article,nytimes,175.0,"The labels Whole Foods will use in 2018, which have yet to be created, will identify foods that contain such ingredients.",26654.0,0.5082552433013916,0.1
21,3,GMO & organic,Article,nytimes,175.0,The shift by Whole Foods is the latest in a series of events that has intensified the debate over genetically modified foods.,26655.0,0.5028459429740906,0.35000000000000003
22,3,GMO & organic,Article,nytimes,175.0,"“These labels could mislead consumers into believing that these food products are somehow different or present a special risk or a potential risk,” Louis Finkel, the organization’s executive director of government affairs, said in the statement.",26649.0,0.4913713335990906,0.08928571428571401
